A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
13,8,5,5,PASS,15.72,15.72,15000
8,12,28,28,PASS,18.95,3.22,35000
2,2,0,0,PASS,34.67,15.72,55000
11,2,9,9,PASS,36.33,1.66,75000
4,1,3,3,PASS,39.55,3.22,95000
12,7,5,5,PASS,42.77,3.22,115000
4,15,21,21,PASS,44.43,1.66,135000
9,5,4,4,PASS,47.66,3.22,155000
10,14,28,28,PASS,50.88,3.22,175000
7,0,7,7,PASS,54.10,3.22,195000
4,15,21,21,PASS,54.10,0.00,215000
9,1,8,8,PASS,54.20,0.10,235000
6,6,0,0,PASS,57.42,3.22,255000
7,7,0,0,PASS,57.52,0.10,275000
15,0,15,15,PASS,59.18,1.66,295000
13,11,2,2,PASS,60.84,1.66,315000
2,0,2,2,PASS,60.94,0.10,335000
2,9,25,25,PASS,62.60,1.66,355000
11,2,9,9,PASS,62.60,0.00,375000
15,3,12,12,PASS,64.26,1.66,395000
12,4,8,8,PASS,65.92,1.66,415000
8,2,6,6,PASS,66.02,0.10,435000
13,10,3,3,PASS,67.68,1.66,455000
3,11,24,24,PASS,69.34,1.66,475000
13,11,2,2,PASS,69.34,0.00,495000
5,0,5,5,PASS,71.00,1.66,515000
5,8,29,29,PASS,71.09,0.10,535000
15,0,15,15,PASS,71.09,0.00,555000
1,6,27,27,PASS,72.75,1.66,575000
10,5,5,5,PASS,72.85,0.10,595000
1,8,25,25,PASS,72.95,0.10,615000
10,12,30,30,PASS,73.05,0.10,635000
7,9,30,30,PASS,73.14,0.10,655000
9,15,26,26,PASS,73.24,0.10,675000
13,4,9,9,PASS,73.34,0.10,695000
11,5,6,6,PASS,73.44,0.10,715000
2,0,2,2,PASS,73.44,0.00,735000
10,0,10,10,PASS,73.54,0.10,755000
13,14,31,31,PASS,73.63,0.10,775000
5,12,25,25,PASS,73.73,0.10,795000
14,7,7,7,PASS,75.39,1.66,815000
1,0,1,1,PASS,75.49,0.10,835000
0,10,22,22,PASS,77.15,1.66,855000
8,9,31,31,PASS,77.25,0.10,875000
3,10,25,25,PASS,77.34,0.10,895000
6,13,25,25,PASS,79.00,1.66,915000
2,0,2,2,PASS,79.00,0.00,935000
2,4,30,30,PASS,79.10,0.10,955000
1,9,24,24,PASS,79.20,0.10,975000
10,15,27,27,PASS,79.30,0.10,995000
1,2,31,31,PASS,79.39,0.10,1015000
13,11,2,2,PASS,79.39,0.00,1035000
3,9,26,26,PASS,79.49,0.10,1055000
11,8,3,3,PASS,79.59,0.10,1075000
12,15,29,29,PASS,79.69,0.10,1095000
7,4,3,3,PASS,79.79,0.10,1115000
1,8,25,25,PASS,79.79,0.00,1135000
3,6,29,29,PASS,79.88,0.10,1155000
2,5,29,29,PASS,79.98,0.10,1175000
9,11,30,30,PASS,80.08,0.10,1195000
12,3,9,9,PASS,80.18,0.10,1215000
15,15,0,0,PASS,80.27,0.10,1235000
7,1,6,6,PASS,80.37,0.10,1255000
8,10,30,30,PASS,80.47,0.10,1275000
8,15,25,25,PASS,80.57,0.10,1295000
0,15,17,17,PASS,80.66,0.10,1315000
15,7,8,8,PASS,80.76,0.10,1335000
4,0,4,4,PASS,80.86,0.10,1355000
15,15,0,0,PASS,80.86,0.00,1375000
12,13,31,31,PASS,80.96,0.10,1395000
0,8,24,24,PASS,81.05,0.10,1415000
3,6,29,29,PASS,81.05,0.00,1435000
11,0,11,11,PASS,81.15,0.10,1455000
14,15,31,31,PASS,81.25,0.10,1475000
10,14,28,28,PASS,81.25,0.00,1495000
6,9,29,29,PASS,81.35,0.10,1515000
0,2,30,30,PASS,81.45,0.10,1535000
8,10,30,30,PASS,81.45,0.00,1555000
11,14,29,29,PASS,81.54,0.10,1575000
0,11,21,21,PASS,81.64,0.10,1595000
5,3,2,2,PASS,81.74,0.10,1615000
8,10,30,30,PASS,81.74,0.00,1635000
13,11,2,2,PASS,81.74,0.00,1655000
15,6,9,9,PASS,81.84,0.10,1675000
3,14,21,21,PASS,81.93,0.10,1695000
7,15,24,24,PASS,82.03,0.10,1715000
15,11,4,4,PASS,82.13,0.10,1735000
7,1,6,6,PASS,82.13,0.00,1755000
0,2,30,30,PASS,82.13,0.00,1775000
9,10,31,31,PASS,82.23,0.10,1795000
6,2,4,4,PASS,82.32,0.10,1815000
8,9,31,31,PASS,82.32,0.00,1835000
1,7,26,26,PASS,82.42,0.10,1855000
0,9,23,23,PASS,82.52,0.10,1875000
1,6,27,27,PASS,82.52,0.00,1895000
1,1,0,0,PASS,82.62,0.10,1915000
15,1,14,14,PASS,82.71,0.10,1935000
5,1,4,4,PASS,82.81,0.10,1955000
9,6,3,3,PASS,82.91,0.10,1975000
8,2,6,6,PASS,82.91,0.00,1995000
5,4,1,1,PASS,83.01,0.10,2015000
0,4,28,28,PASS,83.11,0.10,2035000
7,14,25,25,PASS,83.20,0.10,2055000
11,12,31,31,PASS,83.30,0.10,2075000
12,10,2,2,PASS,83.40,0.10,2095000
15,4,11,11,PASS,83.50,0.10,2115000
2,0,2,2,PASS,83.50,0.00,2135000
4,8,28,28,PASS,83.59,0.10,2155000
15,1,14,14,PASS,83.59,0.00,2175000
12,9,3,3,PASS,83.69,0.10,2195000
13,3,10,10,PASS,83.79,0.10,2215000
14,5,9,9,PASS,83.89,0.10,2235000
10,5,5,5,PASS,83.89,0.00,2255000
0,9,23,23,PASS,83.89,0.00,2275000
14,1,13,13,PASS,83.98,0.10,2295000
1,12,21,21,PASS,84.08,0.10,2315000
6,5,1,1,PASS,84.18,0.10,2335000
11,8,3,3,PASS,84.18,0.00,2355000
0,4,28,28,PASS,84.18,0.00,2375000
11,9,2,2,PASS,84.28,0.10,2395000
3,12,23,23,PASS,84.38,0.10,2415000
9,14,27,27,PASS,84.47,0.10,2435000
0,10,22,22,PASS,84.47,0.00,2455000
14,9,5,5,PASS,84.57,0.10,2475000
2,8,26,26,PASS,84.67,0.10,2495000
9,2,7,7,PASS,84.77,0.10,2515000
0,15,17,17,PASS,84.77,0.00,2535000
2,4,30,30,PASS,84.77,0.00,2555000
14,12,2,2,PASS,84.86,0.10,2575000
7,7,0,0,PASS,84.86,0.00,2595000
0,1,31,31,PASS,84.96,0.10,2615000
2,3,31,31,PASS,85.06,0.10,2635000
13,15,30,30,PASS,85.16,0.10,2655000
9,13,28,28,PASS,85.25,0.10,2675000
12,15,29,29,PASS,85.25,0.00,2695000
12,15,29,29,PASS,85.25,0.00,2715000
2,8,26,26,PASS,85.25,0.00,2735000
4,9,27,27,PASS,85.35,0.10,2755000
8,10,30,30,PASS,85.35,0.00,2775000
13,8,5,5,PASS,85.35,0.00,2795000
2,4,30,30,PASS,85.35,0.00,2815000
6,10,28,28,PASS,85.45,0.10,2835000
11,7,4,4,PASS,85.55,0.10,2855000
1,12,21,21,PASS,85.55,0.00,2875000
6,5,1,1,PASS,85.55,0.00,2895000
15,14,1,1,PASS,85.64,0.10,2915000
0,1,31,31,PASS,85.64,0.00,2935000
15,7,8,8,PASS,85.64,0.00,2955000
12,11,1,1,PASS,85.74,0.10,2975000
11,11,0,0,PASS,85.84,0.10,2995000
9,12,29,29,PASS,85.94,0.10,3015000
10,5,5,5,PASS,85.94,0.00,3035000
4,12,24,24,PASS,86.04,0.10,3055000
3,13,22,22,PASS,86.13,0.10,3075000
15,0,15,15,PASS,86.13,0.00,3095000
10,7,3,3,PASS,86.23,0.10,3115000
11,15,28,28,PASS,86.33,0.10,3135000
14,12,2,2,PASS,86.33,0.00,3155000
15,7,8,8,PASS,86.33,0.00,3175000
7,11,28,28,PASS,86.43,0.10,3195000
4,1,3,3,PASS,86.43,0.00,3215000
3,5,30,30,PASS,86.52,0.10,3235000
3,14,21,21,PASS,86.52,0.00,3255000
13,2,11,11,PASS,86.62,0.10,3275000
6,9,29,29,PASS,86.62,0.00,3295000
1,8,25,25,PASS,86.62,0.00,3315000
1,5,28,28,PASS,86.72,0.10,3335000
8,10,30,30,PASS,86.72,0.00,3355000
0,0,0,0,PASS,86.82,0.10,3375000
10,9,1,1,PASS,86.91,0.10,3395000
2,4,30,30,PASS,86.91,0.00,3415000
1,13,20,20,PASS,87.01,0.10,3435000
5,2,3,3,PASS,87.11,0.10,3455000
10,4,6,6,PASS,87.21,0.10,3475000
10,5,5,5,PASS,87.21,0.00,3495000
12,9,3,3,PASS,87.21,0.00,3515000
14,11,3,3,PASS,87.30,0.10,3535000
15,13,2,2,PASS,87.40,0.10,3555000
8,0,8,8,PASS,87.50,0.10,3575000
12,6,6,6,PASS,87.60,0.10,3595000
0,9,23,23,PASS,87.60,0.00,3615000
14,10,4,4,PASS,87.70,0.10,3635000
