TestID,A,B,OP,Expected,Actual,Result
1,5,3,0,8,8,PASS,7.03
2,10,2,1,8,8,PASS,13.28
3,7,4,10,4,4,PASS,20.31
4,7,4,11,7,7,PASS,24.22
5,7,4,100,3,3,PASS,28.12
6,4,0,101,8,8,PASS,34.38
7,8,0,110,4,4,PASS,39.06
8,3,0,1,3,3,PASS,40.62
9,2,7,101,4,4,PASS,43.75
10,5,12,0,17,17,PASS,46.09
11,12,12,10,12,12,PASS,48.44
12,11,5,101,22,22,PASS,52.34
13,12,7,110,6,6,PASS,53.12
14,10,6,11,14,14,PASS,55.47
15,13,12,110,6,6,PASS,57.03
16,11,11,101,22,22,PASS,58.59
17,13,12,0,25,25,PASS,59.38
18,9,9,11,9,9,PASS,63.28
19,14,8,101,28,28,PASS,67.19
20,6,6,10,6,6,PASS,68.75
21,11,2,110,5,5,PASS,69.53
22,1,8,110,0,0,PASS,71.88
23,13,2,11,15,15,PASS,72.66
24,12,14,100,2,2,PASS,75.00
25,13,3,100,14,14,PASS,75.00
26,10,3,101,20,20,PASS,75.78
27,12,10,0,22,22,PASS,77.34
28,7,7,10,7,7,PASS,77.34
29,3,0,0,3,3,PASS,77.34
30,15,1,110,7,7,PASS,80.47
31,12,6,11,14,14,PASS,80.47
32,12,12,1,0,0,PASS,80.47
33,8,15,110,4,4,PASS,82.03
34,3,9,100,10,10,PASS,82.81
35,15,6,10,6,6,PASS,82.81
36,7,14,0,21,21,PASS,83.59
37,13,6,11,15,15,PASS,83.59
38,10,15,110,5,5,PASS,83.59
39,15,1,101,30,30,PASS,84.38
40,15,4,1,11,11,PASS,85.16
41,7,13,101,14,14,PASS,86.72
42,12,14,11,14,14,PASS,86.72
43,4,5,101,8,8,PASS,86.72
44,2,1,11,3,3,PASS,86.72
45,5,13,110,2,2,PASS,86.72
46,3,13,1,-10,22,FAIL,86.72
47,14,12,101,28,28,PASS,86.72
48,8,14,101,16,16,PASS,87.50
49,5,12,0,17,17,PASS,87.50
50,2,0,0,2,2,PASS,87.50
51,0,6,110,0,0,PASS,89.06
52,6,3,10,2,2,PASS,89.06
53,6,4,110,3,3,PASS,89.06
54,4,15,10,4,4,PASS,89.06
55,7,15,0,22,22,PASS,89.06
56,2,10,101,4,4,PASS,89.06
57,13,14,110,6,6,PASS,89.06
58,1,0,10,0,0,PASS,89.06
59,4,5,10,4,4,PASS,89.06
60,10,8,10,8,8,PASS,89.06
61,13,10,10,8,8,PASS,89.06
62,12,3,101,24,24,PASS,89.84
63,1,10,0,11,11,PASS,89.84
64,4,0,11,4,4,PASS,89.84
65,3,13,100,14,14,PASS,89.84
66,11,2,100,9,9,PASS,89.84
67,8,9,10,8,8,PASS,89.84
68,13,11,11,15,15,PASS,89.84
69,12,11,1,1,1,PASS,90.62
70,10,9,1,1,1,PASS,90.62
71,12,13,101,24,24,PASS,90.62
72,7,3,0,10,10,PASS,90.62
73,8,9,1,-1,31,FAIL,91.41
74,10,12,101,20,20,PASS,91.41
75,15,3,110,7,7,PASS,91.41
76,12,2,100,14,14,PASS,91.41
77,13,8,10,8,8,PASS,91.41
78,0,6,100,6,6,PASS,91.41
79,14,8,110,7,7,PASS,91.41
80,12,6,0,18,18,PASS,92.19
81,1,7,101,2,2,PASS,92.19
82,12,15,101,24,24,PASS,92.19
83,12,4,100,8,8,PASS,92.19
84,3,2,1,1,1,PASS,92.19
85,10,0,110,5,5,PASS,92.19
86,1,7,1,-6,26,FAIL,92.97
87,11,13,101,22,22,PASS,92.97
88,5,7,10,5,5,PASS,92.97
89,6,15,1,-9,23,FAIL,93.75
90,11,15,0,26,26,PASS,93.75
91,12,14,101,24,24,PASS,93.75
