A,B,ExpGT,ExpEQ,ExpLT,ActGT,ActEQ,ActLT,PassFail,Coverage,DeltaCov,Time
11,3,1,0,0,1,0,0,PASS,11.56,11.56,15000
7,1,1,0,0,1,0,0,PASS,14.78,3.22,35000
11,7,1,0,0,1,0,0,PASS,16.44,1.66,55000
8,10,0,0,1,0,0,1,PASS,27.99,11.56,75000
4,13,0,0,1,0,0,1,PASS,31.22,3.22,95000
3,2,1,0,0,1,0,0,PASS,34.44,3.22,115000
6,14,0,0,1,0,0,1,PASS,37.66,3.22,135000
0,7,0,0,1,0,0,1,PASS,39.32,1.66,155000
8,0,1,0,0,1,0,0,PASS,40.98,1.66,175000
8,4,1,0,0,1,0,0,PASS,42.64,1.66,195000
7,0,1,0,0,1,0,0,PASS,42.74,0.10,215000
11,12,0,0,1,0,0,1,PASS,44.40,1.66,235000
14,12,1,0,0,1,0,0,PASS,46.06,1.66,255000
14,2,1,0,0,1,0,0,PASS,46.16,0.10,275000
15,7,1,0,0,1,0,0,PASS,47.82,1.66,295000
7,13,0,0,1,0,0,1,PASS,47.92,0.10,315000
11,2,1,0,0,1,0,0,PASS,48.01,0.10,335000
5,1,1,0,0,1,0,0,PASS,49.67,1.66,355000
13,13,0,1,0,0,1,0,PASS,59.67,9.99,375000
0,3,0,0,1,0,0,1,PASS,59.77,0.10,395000
4,14,0,0,1,0,0,1,PASS,59.86,0.10,415000
2,7,0,0,1,0,0,1,PASS,61.52,1.66,435000
10,10,0,1,0,0,1,0,PASS,63.18,1.66,455000
13,7,1,0,0,1,0,0,PASS,63.28,0.10,475000
6,7,0,0,1,0,0,1,PASS,63.38,0.10,495000
3,0,1,0,0,1,0,0,PASS,63.48,0.10,515000
10,5,1,0,0,1,0,0,PASS,65.14,1.66,535000
3,13,0,0,1,0,0,1,PASS,65.23,0.10,555000
13,0,1,0,0,1,0,0,PASS,65.33,0.10,575000
11,15,0,0,1,0,0,1,PASS,66.99,1.66,595000
15,5,1,0,0,1,0,0,PASS,67.09,0.10,615000
11,0,1,0,0,1,0,0,PASS,67.19,0.10,635000
0,8,0,0,1,0,0,1,PASS,68.85,1.66,655000
9,0,1,0,0,1,0,0,PASS,70.51,1.66,675000
7,8,0,0,1,0,0,1,PASS,70.61,0.10,695000
7,14,0,0,1,0,0,1,PASS,70.70,0.10,715000
12,4,1,0,0,1,0,0,PASS,72.36,1.66,735000
5,6,0,0,1,0,0,1,PASS,74.02,1.66,755000
12,3,1,0,0,1,0,0,PASS,74.12,0.10,775000
6,3,1,0,0,1,0,0,PASS,74.22,0.10,795000
6,10,0,0,1,0,0,1,PASS,74.32,0.10,815000
5,12,0,0,1,0,0,1,PASS,74.41,0.10,835000
7,3,1,0,0,1,0,0,PASS,74.51,0.10,855000
0,11,0,0,1,0,0,1,PASS,76.17,1.66,875000
1,11,0,0,1,0,0,1,PASS,77.83,1.66,895000
12,11,1,0,0,1,0,0,PASS,77.93,0.10,915000
8,8,0,1,0,0,1,0,PASS,78.03,0.10,935000
12,1,1,0,0,1,0,0,PASS,78.12,0.10,955000
5,2,1,0,0,1,0,0,PASS,78.22,0.10,975000
12,5,1,0,0,1,0,0,PASS,78.32,0.10,995000
14,7,1,0,0,1,0,0,PASS,78.42,0.10,1015000
2,8,0,0,1,0,0,1,PASS,78.52,0.10,1035000
1,6,0,0,1,0,0,1,PASS,78.61,0.10,1055000
10,11,0,0,1,0,0,1,PASS,78.71,0.10,1075000
4,15,0,0,1,0,0,1,PASS,78.81,0.10,1095000
10,9,1,0,0,1,0,0,PASS,80.47,1.66,1115000
4,5,0,0,1,0,0,1,PASS,80.57,0.10,1135000
9,14,0,0,1,0,0,1,PASS,80.66,0.10,1155000
14,3,1,0,0,1,0,0,PASS,80.76,0.10,1175000
15,1,1,0,0,1,0,0,PASS,80.86,0.10,1195000
9,12,0,0,1,0,0,1,PASS,80.96,0.10,1215000
15,15,0,1,0,0,1,0,PASS,81.05,0.10,1235000
8,12,0,0,1,0,0,1,PASS,81.15,0.10,1255000
7,7,0,1,0,0,1,0,PASS,81.25,0.10,1275000
2,0,1,0,0,1,0,0,PASS,81.35,0.10,1295000
3,6,0,0,1,0,0,1,PASS,81.45,0.10,1315000
0,6,0,0,1,0,0,1,PASS,81.54,0.10,1335000
10,4,1,0,0,1,0,0,PASS,81.64,0.10,1355000
13,11,1,0,0,1,0,0,PASS,81.74,0.10,1375000
7,11,0,0,1,0,0,1,PASS,81.84,0.10,1395000
1,1,0,1,0,0,1,0,PASS,81.93,0.10,1415000
2,14,0,0,1,0,0,1,PASS,82.03,0.10,1435000
3,14,0,0,1,0,0,1,PASS,82.13,0.10,1455000
9,8,1,0,0,1,0,0,PASS,82.23,0.10,1475000
15,10,1,0,0,1,0,0,PASS,82.32,0.10,1495000
9,15,0,0,1,0,0,1,PASS,82.42,0.10,1515000
13,5,1,0,0,1,0,0,PASS,82.52,0.10,1535000
13,6,1,0,0,1,0,0,PASS,82.62,0.10,1555000
15,11,1,0,0,1,0,0,PASS,82.71,0.10,1575000
5,13,0,0,1,0,0,1,PASS,82.81,0.10,1595000
0,12,0,0,1,0,0,1,PASS,82.91,0.10,1615000
0,5,0,0,1,0,0,1,PASS,83.01,0.10,1635000
5,9,0,0,1,0,0,1,PASS,83.11,0.10,1655000
6,5,1,0,0,1,0,0,PASS,83.20,0.10,1675000
6,1,1,0,0,1,0,0,PASS,83.30,0.10,1695000
2,1,1,0,0,1,0,0,PASS,83.40,0.10,1715000
2,11,0,0,1,0,0,1,PASS,83.50,0.10,1735000
1,14,0,0,1,0,0,1,PASS,83.59,0.10,1755000
1,3,0,0,1,0,0,1,PASS,83.69,0.10,1775000
0,14,0,0,1,0,0,1,PASS,83.79,0.10,1795000
15,9,1,0,0,1,0,0,PASS,83.89,0.10,1815000
0,10,0,0,1,0,0,1,PASS,83.98,0.10,1835000
14,6,1,0,0,1,0,0,PASS,84.08,0.10,1855000
4,1,1,0,0,1,0,0,PASS,84.18,0.10,1875000
4,4,0,1,0,0,1,0,PASS,84.28,0.10,1895000
7,6,1,0,0,1,0,0,PASS,84.38,0.10,1915000
0,0,0,1,0,0,1,0,PASS,84.47,0.10,1935000
4,11,0,0,1,0,0,1,PASS,84.57,0.10,1955000
1,15,0,0,1,0,0,1,PASS,84.67,0.10,1975000
4,12,0,0,1,0,0,1,PASS,84.77,0.10,1995000
1,2,0,0,1,0,0,1,PASS,84.86,0.10,2015000
1,10,0,0,1,0,0,1,PASS,84.96,0.10,2035000
0,13,0,0,1,0,0,1,PASS,85.06,0.10,2055000
6,0,1,0,0,1,0,0,PASS,85.16,0.10,2075000
8,15,0,0,1,0,0,1,PASS,85.25,0.10,2095000
2,15,0,0,1,0,0,1,PASS,85.35,0.10,2115000
14,4,1,0,0,1,0,0,PASS,85.45,0.10,2135000
14,14,0,1,0,0,1,0,PASS,85.55,0.10,2155000
15,4,1,0,0,1,0,0,PASS,85.64,0.10,2175000
3,10,0,0,1,0,0,1,PASS,85.74,0.10,2195000
0,2,0,0,1,0,0,1,PASS,85.84,0.10,2215000
14,1,1,0,0,1,0,0,PASS,85.94,0.10,2235000
9,4,1,0,0,1,0,0,PASS,86.04,0.10,2255000
15,12,1,0,0,1,0,0,PASS,86.13,0.10,2275000
10,3,1,0,0,1,0,0,PASS,86.23,0.10,2295000
15,6,1,0,0,1,0,0,PASS,86.33,0.10,2315000
13,8,1,0,0,1,0,0,PASS,86.43,0.10,2335000
8,5,1,0,0,1,0,0,PASS,86.52,0.10,2355000
15,3,1,0,0,1,0,0,PASS,86.62,0.10,2375000
12,12,0,1,0,0,1,0,PASS,86.72,0.10,2395000
1,5,0,0,1,0,0,1,PASS,86.82,0.10,2415000
10,8,1,0,0,1,0,0,PASS,86.91,0.10,2435000
1,4,0,0,1,0,0,1,PASS,87.01,0.10,2455000
