T,rst,prev_Q,exp_Q,act_Q,pass_fail,coverage,runtime
0,0,0,0,0,PASS,12,5
0,0,0,0,0,PASS,12,15
1,1,0,0,0,PASS,25,25
1,0,0,1,0,FAIL,37,35
1,1,0,0,0,PASS,37,45
1,1,0,0,0,PASS,37,55
1,0,0,1,0,FAIL,37,65
0,0,0,0,1,FAIL,37,75
0,0,1,1,1,PASS,50,85
1,0,1,0,1,FAIL,62,95
1,0,1,0,0,PASS,62,105
0,0,0,0,1,FAIL,62,115
0,1,1,0,0,PASS,75,125
1,0,0,1,0,FAIL,75,135
0,1,0,0,0,PASS,87,145
0,0,0,0,0,PASS,87,155
0,1,0,0,0,PASS,87,165
1,1,0,0,0,PASS,87,175
1,1,0,0,0,PASS,87,185
0,1,0,0,0,PASS,87,195
1,0,0,1,0,FAIL,87,205
0,0,0,0,1,FAIL,87,215
1,0,1,0,1,FAIL,87,225
1,0,1,0,0,PASS,87,235
0,1,0,0,0,PASS,87,245
1,1,0,0,0,PASS,87,255
1,1,0,0,0,PASS,87,265
1,1,0,0,0,PASS,87,275
0,0,0,0,0,PASS,87,285
1,1,0,0,0,PASS,87,295
0,0,0,0,0,PASS,87,305
0,1,0,0,0,PASS,87,315
0,1,0,0,0,PASS,87,325
0,1,0,0,0,PASS,87,335
1,0,0,1,0,FAIL,87,345
1,0,0,1,1,PASS,87,355
1,1,1,0,0,PASS,100,365
0,0,0,0,0,PASS,100,375
1,1,0,0,0,PASS,100,385
0,0,0,0,0,PASS,100,395
0,0,0,0,0,PASS,100,405
1,1,0,0,0,PASS,100,415
1,0,0,1,0,FAIL,100,425
0,0,0,0,1,FAIL,100,435
0,1,1,0,0,PASS,100,445
1,1,0,0,0,PASS,100,455
1,1,0,0,0,PASS,100,465
1,0,0,1,0,FAIL,100,475
1,1,0,0,0,PASS,100,485
1,1,0,0,0,PASS,100,495
1,1,0,0,0,PASS,100,505
1,1,0,0,0,PASS,100,515
1,1,0,0,0,PASS,100,525
1,0,0,1,0,FAIL,100,535
