testcase_id,module_name,coverage,runtime_seconds,pass_fail
4bit_sub_test_0,4bit_sub,15.72,15000,PASS
4bit_sub_test_1,4bit_sub,18.95,35000,PASS
4bit_sub_test_2,4bit_sub,22.17,55000,PASS
4bit_sub_test_3,4bit_sub,25.39,75000,PASS
4bit_sub_test_4,4bit_sub,28.61,95000,PASS
4bit_sub_test_5,4bit_sub,31.84,115000,PASS
4bit_sub_test_6,4bit_sub,33.5,135000,PASS
4bit_sub_test_7,4bit_sub,46.09,155000,PASS
4bit_sub_test_8,4bit_sub,47.75,175000,PASS
4bit_sub_test_9,4bit_sub,50.98,195000,PASS
4bit_sub_test_10,4bit_sub,52.64,215000,PASS
4bit_sub_test_11,4bit_sub,54.3,235000,PASS
4bit_sub_test_12,4bit_sub,54.39,255000,PASS
4bit_sub_test_13,4bit_sub,56.05,275000,PASS
4bit_sub_test_14,4bit_sub,57.71,295000,PASS
4bit_sub_test_15,4bit_sub,57.81,315000,PASS
4bit_sub_test_16,4bit_sub,59.47,335000,PASS
4bit_sub_test_17,4bit_sub,59.57,355000,PASS
4bit_sub_test_18,4bit_sub,61.23,375000,PASS
4bit_sub_test_19,4bit_sub,62.89,395000,PASS
4bit_sub_test_20,4bit_sub,64.55,415000,PASS
4bit_sub_test_21,4bit_sub,64.65,435000,PASS
4bit_sub_test_22,4bit_sub,66.31,455000,PASS
4bit_sub_test_23,4bit_sub,66.41,475000,PASS
4bit_sub_test_24,4bit_sub,68.07,495000,PASS
4bit_sub_test_25,4bit_sub,68.16,515000,PASS
4bit_sub_test_26,4bit_sub,68.16,535000,PASS
4bit_sub_test_27,4bit_sub,68.26,555000,PASS
4bit_sub_test_28,4bit_sub,69.92,575000,PASS
4bit_sub_test_29,4bit_sub,70.02,595000,PASS
4bit_sub_test_30,4bit_sub,70.12,615000,PASS
4bit_sub_test_31,4bit_sub,71.78,635000,PASS
4bit_sub_test_32,4bit_sub,71.88,655000,PASS
4bit_sub_test_33,4bit_sub,71.97,675000,PASS
4bit_sub_test_34,4bit_sub,73.63,695000,PASS
4bit_sub_test_35,4bit_sub,73.73,715000,PASS
4bit_sub_test_36,4bit_sub,73.83,735000,PASS
4bit_sub_test_37,4bit_sub,75.49,755000,PASS
4bit_sub_test_38,4bit_sub,77.15,775000,PASS
4bit_sub_test_39,4bit_sub,77.25,795000,PASS
4bit_sub_test_40,4bit_sub,77.34,815000,PASS
4bit_sub_test_41,4bit_sub,77.34,835000,PASS
4bit_sub_test_42,4bit_sub,77.44,855000,PASS
4bit_sub_test_43,4bit_sub,77.44,875000,PASS
