testcase_id,module_name,coverage,runtime_seconds,pass_fail
reg_downcounter_test_0,reg_downcounter,3.12,15000,FAIL
reg_downcounter_test_1,reg_downcounter,56.25,25000,PASS
reg_downcounter_test_2,reg_downcounter,59.38,35000,PASS
reg_downcounter_test_3,reg_downcounter,62.5,45000,PASS
reg_downcounter_test_4,reg_downcounter,65.62,55000,PASS
reg_downcounter_test_5,reg_downcounter,68.75,65000,PASS
reg_downcounter_test_6,reg_downcounter,71.88,75000,PASS
reg_downcounter_test_7,reg_downcounter,75.0,85000,PASS
reg_downcounter_test_8,reg_downcounter,78.12,95000,PASS
reg_downcounter_test_9,reg_downcounter,81.25,105000,PASS
reg_downcounter_test_10,reg_downcounter,84.38,115000,PASS
reg_downcounter_test_11,reg_downcounter,87.5,125000,PASS
reg_downcounter_test_12,reg_downcounter,90.62,135000,PASS
reg_downcounter_test_13,reg_downcounter,93.75,145000,PASS
reg_downcounter_test_14,reg_downcounter,96.88,155000,PASS
reg_downcounter_test_15,reg_downcounter,100.0,165000,PASS
reg_downcounter_test_16,reg_downcounter,100.0,175000,PASS
reg_downcounter_test_17,reg_downcounter,100.0,185000,PASS
reg_downcounter_test_18,reg_downcounter,100.0,195000,PASS
reg_downcounter_test_19,reg_downcounter,100.0,205000,PASS
reg_downcounter_test_20,reg_downcounter,100.0,215000,PASS
reg_downcounter_test_21,reg_downcounter,100.0,225000,PASS
reg_downcounter_test_22,reg_downcounter,100.0,235000,PASS
reg_downcounter_test_23,reg_downcounter,100.0,245000,PASS
reg_downcounter_test_24,reg_downcounter,100.0,255000,PASS
reg_downcounter_test_25,reg_downcounter,100.0,265000,PASS
reg_downcounter_test_26,reg_downcounter,100.0,275000,PASS
reg_downcounter_test_27,reg_downcounter,100.0,285000,PASS
reg_downcounter_test_28,reg_downcounter,100.0,295000,PASS
reg_downcounter_test_29,reg_downcounter,100.0,305000,PASS
reg_downcounter_test_30,reg_downcounter,100.0,315000,PASS
reg_downcounter_test_31,reg_downcounter,100.0,325000,PASS
reg_downcounter_test_32,reg_downcounter,100.0,335000,PASS
reg_downcounter_test_33,reg_downcounter,100.0,345000,PASS
reg_downcounter_test_34,reg_downcounter,100.0,355000,PASS
reg_downcounter_test_35,reg_downcounter,100.0,365000,PASS
reg_downcounter_test_36,reg_downcounter,100.0,375000,PASS
reg_downcounter_test_37,reg_downcounter,100.0,385000,PASS
reg_downcounter_test_38,reg_downcounter,100.0,395000,PASS
reg_downcounter_test_39,reg_downcounter,100.0,405000,PASS
reg_downcounter_test_40,reg_downcounter,100.0,415000,PASS
reg_downcounter_test_41,reg_downcounter,100.0,425000,PASS
reg_downcounter_test_42,reg_downcounter,100.0,435000,PASS
reg_downcounter_test_43,reg_downcounter,100.0,445000,PASS
reg_downcounter_test_44,reg_downcounter,100.0,455000,PASS
reg_downcounter_test_45,reg_downcounter,100.0,465000,PASS
reg_downcounter_test_46,reg_downcounter,100.0,475000,PASS
reg_downcounter_test_47,reg_downcounter,100.0,485000,PASS
reg_downcounter_test_48,reg_downcounter,100.0,495000,PASS
reg_downcounter_test_49,reg_downcounter,100.0,505000,PASS
