testcase_id,module_name,coverage,runtime_seconds,pass_fail,pass_rate,final_score,priority_rank,action
half_adder_test_4,half_adder,50,5,PASS,1.0,0.8,P0,run_first
half_adder_test_22,half_adder,100,23,PASS,1.0,0.6950495049504951,P1,run_early
half_adder_test_15,half_adder,87,16,PASS,1.0,0.6885066977285964,P1,run_early
half_adder_test_23,half_adder,100,24,PASS,1.0,0.6824356435643564,P1,run_early
half_adder_test_24,half_adder,100,25,PASS,1.0,0.6707920792079208,P1,run_early
half_adder_test_25,half_adder,100,26,PASS,1.0,0.66001100110011,P1,run_early
half_adder_test_16,half_adder,87,17,PASS,1.0,0.6546006600660066,P1,run_early
half_adder_test_3,half_adder,37,4,PASS,1.0,0.6527029702970297,P1,run_early
half_adder_test_13,half_adder,75,14,PASS,1.0,0.6387128712871287,P1,run_early
half_adder_test_5,half_adder,50,6,PASS,1.0,0.6371287128712871,P1,run_early
half_adder_test_17,half_adder,87,18,PASS,1.0,0.6242636789994789,P1,run_early
half_adder_test_18,half_adder,87,19,PASS,1.0,0.6104752475247526,P1,run_early
half_adder_test_14,half_adder,75,15,PASS,1.0,0.6006806930693069,P1,run_early
half_adder_test_10,half_adder,62,11,PASS,1.0,0.5811683168316832,P1,run_early
half_adder_test_1,half_adder,25,2,PASS,1.0,0.5752475247524752,P1,run_early
half_adder_test_11,half_adder,62,12,PASS,1.0,0.5555780654988576,P1,run_early
half_adder_test_6,half_adder,50,7,PASS,1.0,0.5487623762376238,P1,run_early
half_adder_test_12,half_adder,62,13,PASS,1.0,0.5336435643564357,P1,run_early
half_adder_test_7,half_adder,50,8,PASS,1.0,0.48003300330033005,P2,run_normal
half_adder_test_2,half_adder,25,3,PASS,1.0,0.4626237623762376,P2,run_normal
