A,B,Expected,Actual,PassFail,Coverage,DeltaCov,testcase_id,module_name,coverage,runtime_seconds,pass_fail,pass_rate,final_score,priority_rank,action
7,15,24,24,PASS,15.72,15.72,4bit_Subtractor_test_7,4bit_Subtractor,46.09,155000,PASS,1.0,0.78436,P0,run_first
4,14,22,22,PASS,18.95,3.22,4bit_Subtractor_test_8,4bit_Subtractor,47.75,175000,PASS,1.0,0.6839654206080195,P1,run_early
15,7,8,8,PASS,22.17,3.22,4bit_Subtractor_test_4,4bit_Subtractor,28.61,95000,PASS,1.0,0.6473303462853023,P1,run_early
8,2,6,6,PASS,25.39,3.22,4bit_Subtractor_test_9,4bit_Subtractor,50.98,195000,PASS,1.0,0.645352081023282,P1,run_early
6,1,5,5,PASS,28.61,3.22,4bit_Subtractor_test_3,4bit_Subtractor,25.39,75000,PASS,1.0,0.6203606981346471,P1,run_early
9,6,3,3,PASS,31.84,3.22,4bit_Subtractor_test_5,4bit_Subtractor,31.84,115000,PASS,1.0,0.6112701112921191,P1,run_early
3,6,29,29,PASS,33.5,1.66,4bit_Subtractor_test_10,4bit_Subtractor,52.64,215000,PASS,1.0,0.5856752167138992,P1,run_early
6,6,0,0,PASS,46.09,12.6,4bit_Subtractor_test_2,4bit_Subtractor,22.17,55000,PASS,1.0,0.5831695027523085,P1,run_early
7,9,30,30,PASS,47.75,1.66,4bit_Subtractor_test_68,4bit_Subtractor,80.96,1375000,PASS,1.0,0.5780512598102279,P1,run_early
0,8,24,24,PASS,50.98,3.22,4bit_Subtractor_test_69,4bit_Subtractor,81.05,1395000,PASS,1.0,0.5774537183755231,P1,run_early
9,11,30,30,PASS,52.64,1.66,4bit_Subtractor_test_38,4bit_Subtractor,77.15,775000,PASS,1.0,0.5714330407040156,P1,run_early
2,2,0,0,PASS,54.3,1.66,4bit_Subtractor_test_39,4bit_Subtractor,77.25,795000,PASS,1.0,0.5682357161414047,P1,run_early
15,2,13,13,PASS,54.39,0.1,4bit_Subtractor_test_40,4bit_Subtractor,77.34,815000,PASS,1.0,0.5651339968367399,P1,run_early
1,14,19,19,PASS,56.05,1.66,4bit_Subtractor_test_37,4bit_Subtractor,75.49,755000,PASS,1.0,0.5616850249577588,P1,run_early
7,13,26,26,PASS,57.71,1.66,4bit_Subtractor_test_34,4bit_Subtractor,73.63,695000,PASS,1.0,0.555048578587481,P1,run_early
4,11,25,25,PASS,57.81,0.1,4bit_Subtractor_test_35,4bit_Subtractor,73.73,715000,PASS,1.0,0.5515248865341117,P1,run_early
